api-vmId1-WLA01, volume_id, network_id, key_name, autoscaling_id, vm_ip, vm_status, server_id, vmId_origin, vmorigin_ip, vmorigin_status, serverorigin_id, image_id,time,snapshot_id,X-api-key
${api-vmId-WLA01},${api-volumeId-WLA01},610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,${api-vmId-WLA01_origin},${vmorigin_ip},${vmorigin_status},${serverorigin_id},${api-imageid},61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,${api-vmId-WLA01_origin},${vmorigin_ip},${vmorigin_status},${serverorigin_id},${api-imageid},72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,797,${vmorigin_ip},${vmorigin_status},${serverorigin_id},${api-imageid},72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,798,${vmorigin_ip},${vmorigin_status},${serverorigin_id},${api-imageid},61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,797,203.145.222.254,Ready,1367,${api-imageid},72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,798,203.145.223.134,Ready,1370,${api-imageid},61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,798,203.145.223.134,Ready,1370,118,61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
${api-vmId-WLA01},${api-volumeId-WLA01},613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,797,203.145.222.254,Ready,1367,121,72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
800,${api-volumeId-WLA01},610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,798,203.145.223.134,Ready,1370,118,61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
801,${api-volumeId-WLA01},613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,797,203.145.222.254,Ready,1367,121,72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
800,282,610,st-keya01-ooo-01_61,${auto_scaling_policy_id},${vm_ip},${vm_status},2,798,203.145.223.134,Ready,1370,118,61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
801,283,613,st-keya01-ooo-01_72,${auto_scaling_policy_id},${vm_ip},${vm_status},2,797,203.145.222.254,Ready,1367,121,72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
800,282,610,st-keya01-ooo-01_61,${auto_scaling_policy_id},203.145.223.162,Ready,1372,798,203.145.223.134,Ready,1370,118,61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
801,283,613,st-keya01-ooo-01_72,${auto_scaling_policy_id},203.145.223.151,Ready,1375,797,203.145.222.254,Ready,1367,121,72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
801,283,613,st-keya01-ooo-01_72,25,203.145.223.151,Ready,1375,797,203.145.222.254,Ready,1367,121,72,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
800,282,610,st-keya01-ooo-01_61,26,203.145.223.162,Ready,1372,798,203.145.223.134,Ready,1370,118,61,${snapshot_id},79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
800,282,610,st-keya01-ooo-01_61,${auto_scaling_policy_id},203.145.223.162,Ready,1372,798,203.145.223.134,Ready,1370,118,61,26,79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
801,283,613,st-keya01-ooo-01_72,${auto_scaling_policy_id},203.145.223.151,Ready,1375,797,203.145.222.254,Ready,1367,121,72,27,79c3a9b8-bcc7-42ae-a31a-e7bc8fd9cba3
